name,rating,country,category,price,abv,age,brand,time_data
Canadian Hunter Canadian Whisky,40,Canada,Blended,9,40,,Canadian Hunter,01-01-1995 00:00:00
Canadian LTD Blended Canadian Whiskey,43,Canada,Blended,10,,,Canadian LTD,01-01-1995 00:00:00
Kellan Irish Whiskey,47,Ireland,Blended,20,40,,Kellan,01-01-1995 00:00:00
Rich & Rare Canadian Whisky,47,Canada,Blended,10,,,Rich & Rare,01-01-1995 00:00:00
Canadian Mist Blended Canadian Whisky,48,Canada,Blended,12,40,,Canadian Mist,01-01-1995 00:00:00
Slane Castle Irish Whiskey,50,Ireland,Blended,25,,,Slane Castle,01-01-1995 00:00:00
Canadian Club 6 Year Old Canadian Whisky,53,Canada,Blended,12,40,6,Canadian Club,01-01-1995 00:00:00
Origine Irish Whiskey,54,Ireland,Blended,17,,,Origine,01-01-1995 00:00:00
Jack Daniel's No. 7 Whiskey,54,USA,Blended,20,40,7,Jack Daniel's,01-01-1995 00:00:00
Ellington Canadian Whisky,54,Canada,Blended,11,,,Ellington,01-01-1995 00:00:00
Canadian Club Reserve Canadian Whisky,56,Canada,Blended,16,,10,Canadian Club,01-01-1995 00:00:00
Pendleton Blended Canadian Whisky,56,Canada,Blended,26,40,,Hood River,01-01-1995 00:00:00
Jim Beam Straight Rye Whiskey,57,USA,Rye,15,51,4,Jim Beam,01-01-1995 00:00:00
Catoctin Creek Organic Roundstone Rye Whisky,57,USA,Rye,38,40,,Catoctin Creek,01-01-1995 00:00:00
Johnnie Walker Red Label Whisky,58,Scotland,Blended,30,40,,Johnnie Walker,01-01-1995 00:00:00
Danfield's Private Reserve Small Batch Canaidan Whiskey,60,Canada,Blended,25,,,Danfield,01-01-1995 00:00:00
Wiser's Small Batch Canadian Whisky,60,Canada,Rye,29,43,,Wiser's,01-01-1995 00:00:00
8 Seconds Canadian Whiskey,64,Canada,Blended,30,40,,8 Seconds,01-01-1995 00:00:00
Feckin Irish Whiskey,64,Ireland,Blended,20,40,,Feckin,01-01-1995 00:00:00
Bushmills Original Irish Whiskey,65,Ireland,Blended,24,40,,Bushmills,01-01-1995 00:00:00
Jameson Irish Whiskey,65,Ireland,Blended,25,40,,Jameson,01-01-1995 00:00:00
Templeton Rye Whiskey,67,USA,Rye,35,40,4,Templeton,01-01-1995 00:00:00
Dalwhinnie 15 Year Old Single Malt Scotch,67,Scotland,Highlands,50,43,15,Dalwhinnie,01-01-1995 00:00:00
Forty Creek John K. Hall Small Batch Reserve Whisky,67,Canada,Blended,60,40,,Forty Creek,01-01-1995 00:00:00
Wiser's 18 Year Old Canadian Whisky,67,Canada,Blended,65,40,18,Wiser's,01-01-1995 00:00:00
Black Velvet Reserve Canadian Whiskey,67,Canada,Blended,14,40,8,Black Velvet,01-01-1995 00:00:00
Crown Royal Canadian Whisky,68,Canada,Blended,25,40,,Crown Royal,01-01-1995 00:00:00
Benchmark Old No. 8 Kentucky Straight Bourbon Whiskey,68,USA,Bourbon,12,40,,Benchmark,01-01-1995 00:00:00
Forty Creek Barrel Select Canadian Whiskey,69,Canada,Blended,23,40,,Forty Creek,01-01-1995 00:00:00
Canadian Club Classic 12 Canadian Whisky,69,Canada,Blended,23,40,12,Canadian Club,01-01-1995 00:00:00
Jim Beam Kentucky Straight Bourbon Whiskey,69,USA,Bourbon,15,40,4,Jim Beam,01-01-1995 00:00:00
Sazerac Kentucky Straight Rye Whiskey,69,USA,Rye,27,45,6,Sazerac,01-01-1995 00:00:00
Famous Grouse Blended Scotch Whisky,69,Scotland,Blended,20,40,,Famous Grouse,01-01-1995 00:00:00
Johnnie Walker Black Label Scotch Whisky,70,Scotland,Blended,45,43,12,Johnnie Walker,01-01-1995 00:00:00
Tullamore Dew Irish Whiskey,70,Ireland,Blended,26,40,,Tullamore,01-01-1995 00:00:00
Canadian Club Sherry Cask Canadian Whisky,71,Canada,Blended,27,40,8,Canadian Club,01-01-1995 00:00:00
Greenore 8 Year Old Single Grain Irish Whiskey,71,Ireland,Grain,50,43,8,Greenore,01-01-1995 00:00:00
Ardmore Traditional Cask Highland Single Malt Scotch Whisky,72,Scotland,Speyside,48,46,30,Ardmore,01-01-1995 00:00:00
Jameson 18 Year Old Limited Reserve Irish Whiskey,73,Ireland,Blended,84,40,18,Jameson,01-01-1995 00:00:00
Connemara 12 Year Old Peated Single Malt Irish Whiskey,73,Ireland,Single Malt,90,40,12,Connemara,01-01-1995 00:00:00
Bushmills 1608 Irish Whiskey Limited Edition,74,Ireland,Blended,90,46,,Bushmills,01-01-1995 00:00:00
Michael Collins Single Malt Irish Whiskey,74,Ireland,Single Malt,40,40,10,Wiser's,01-01-1995 00:00:00
Wiser's Legacy Canadian Whisky,74,Canada,Blended,50,45,,Wiser's,01-01-1995 00:00:00
Whyte & Mackay Old Luxury 19 Year Old Aged Blended Scotch Whisky,74,Scotland,Blended,58,40,19,Whyte & Mackay,01-01-1995 00:00:00
Glen Breton Rare 10 Year Old Single Malt Canadian Whisky,75,Canada,Single Malt,85,43,10,Glen Breton,01-01-1995 00:00:00
Wasmund's Copper Fox Rye Whisky,76,USA,Rye,46,45,1,Copper Fox,01-01-1995 00:00:00
Baker's Kentucky Straight Bourbon Whiskey,76,USA,Bourbon,38,53,7,Jim Beam,01-01-1995 00:00:00
Amrut Indian Single Malt Whisky,76,India,Single Malt,36,46,,Amrut,01-01-1995 00:00:00
Amrut Peated Indian Single Malt Whisky,76,India,Single Malt,70,46,,Amrut,01-01-1995 00:00:00
Early Times 354 Bourbon,76,USA,Bourbon,16,40,,Early Times,01-01-1995 00:00:00
Johnnie Walker Green Label Scotch Whisky,76,Scotland,Blended,45,40,15,Johnnie Walker,01-01-1995 00:00:00
Glen Breton Battle of the Glen 15 Year Old Single Malt Canadian Whisky,77,Canada,Single Malt,,43,15,Glenora,01-01-1995 00:00:00
Michael Collins Blended Irish Whiskey,77,Ireland,Blended,28,40,12,Michael Collins,01-01-1995 00:00:00
Penderyn Single Malt Welsh Whisky,77,England,Single Malt,70,46,,Penderyn,01-01-1995 00:00:00
Balvenie Madeira Cask 17 Year Old Single Malt Scotch Whisky,77,Scotland,Speyside,179,43,17,Balvenie,01-01-1995 00:00:00
Wild Turkey Bourbon 101,77,USA,Bourbon,20,50,8,Wild Turkey,01-01-1995 00:00:00
Sazerac 18 Year Old Kentucky Straight Rye Whiskey,78,USA,Rye,75,45,18,Sazerac,01-01-1995 00:00:00
Grant's Family Reserve Blended Scotch Whisky,78,Scotland,Blended,17,40,,William Grant & Sons,01-01-1995 00:00:00
Johnnie Walker Gold Label Blended Scotch Whisky,78,Scotland,Blended,73,40,18,Johnnie Walker,01-01-1995 00:00:00
Connemara Cask Strength Peated Single Malt Irish Whiskey,78,Ireland,Single Malt,65,58,,Connemara,01-01-1995 00:00:00
Bushmills Black Bush Irish Whiskey,79,Ireland,Blended,32,40,11,Bushmills,01-01-1995 00:00:00
Hudson Manhattan Rye,79,USA,Rye,41,46,,Hudson,01-01-1995 00:00:00
George Dickel Barrel Select Tennessee Whiskey,79,USA,Corn,26,43,12,George Dickel,01-01-1995 00:00:00
Royal Canadian Small Batch Canadian Whisky,79,Canada,Blended,27,40,,Royal Canadian,01-01-1995 00:00:00
Canadian Mist Black Diamond Canadian Whiskey,80,Canada,Rye,16,43,,Canadian Mist,01-01-1995 00:00:00
Isle of Jura 16 Year Old Single Malt Scotch Whisky,80,Scotland,Islands,63,43,16,Isle of Jura,01-01-1995 00:00:00
Evan Williams 1999 Vintage Bourbon Whiskey,80,USA,Bourbon,25,43,12,Evan Williams,01-01-1995 00:00:00
Booker's True Barrel Bourbon,80,USA,Bourbon,60,62,7,Booker's,01-01-1995 00:00:00
Amrut Peated Indian Single Malt Whiskey Cask Strength,80,India,Single Malt,85,62.8,,Amrut,01-01-1995 00:00:00
Basil Hayden's 8 Year Old Bourbon Whiskey,80,USA,Bourbon,36,40,8,Basil Hayden,01-01-1995 00:00:00
Four Roses Yellow Label Straight Bourbon,81,USA,Bourbon,20,40,,Four Roses,01-01-1995 00:00:00
Hudson Single Malt Whiskey,81,USA,Single Malt,43,46,,Hudson,01-01-1995 00:00:00
Balblair 1997 Highland Single Malt Scotch Whisky,81,Scotland,Highlands,58,43,,Balblair,01-01-1995 00:00:00
Barton Irish Whiskey,81,Ireland,Blended,20,40,,Barton,01-01-1995 00:00:00
Corsair Pumpkin Spice Moonshine,81,USA,Flavored,35,42.5,,Corsair,01-01-1995 00:00:00
Kavalan Solist Ex-Bourbon Single Malt Whisky,81,Taiwan,Single Malt,100,58.2,,Kavalan,01-01-1995 00:00:00
Mickey Finn Irish Whiskey,81,Ireland,Flavored,25,40,,Mickey Finn,01-01-1995 00:00:00
P & M Blended Whisky,81,France,Blended,40,40,,P & M,01-01-1995 00:00:00
P & M Single Malt Whisky,81,France,Single Malt,60,42,,P & M,01-01-1995 00:00:00
Prince Edward Canadian Rye,81,Canada,Rye,55,41,,Price Edward,01-01-1995 00:00:00
Jim Beam Red Stag Black Cherry Flavored Whiskey,81,USA,Flavored,18,40,4,Jim Beam,01-01-1995 00:00:00
Seagram's 7 Crown Dark Honey Whiskey,81,USA,Flavored,17,35.5,7,Seagram's,01-01-1995 00:00:00
Tullamore Dew 10 Year Old Single Malt Irish Whiskey,81,Ireland,Single Malt,69,40,10,Tullamore,01-01-1995 00:00:00
Wolfhound Irish Whiskey,81,Ireland,Blended,25,40,,Wolfhound,01-01-1995 00:00:00
Wild Turkey 81 Bourbon Whiskey,81,USA,Bourbon,17,41,8,Wild Turkey,01-01-1995 00:00:00
The Irishman Single Malt Whiskey,81,Ireland,Single Malt,50,40,10,The Irishman,01-01-1995 00:00:00
Collingwood Hand-Crafted Blended Canadian Whisky,81,Canada,Blended,28,40,,Collingwood,01-01-1995 00:00:00
Old Forester Straight Bourbon 86 Proof,81,USA,Bourbon,19,43,4,Old Forester,01-01-1995 00:00:00
Buffalo Trace White Dog Mash #1 Corn Whiskey,82,USA,Corn,16,62.5,,Buffalo Trace,01-01-1995 00:00:00
Kavalan Concert Master Single Malt Whiskey,82,Taiwan,Single Malt,50,40,,Kavalan,01-01-1995 00:00:00
Kavalan Single Malt Whiskey,82,Taiwan,Single Malt,70,40,,Kavalan,01-01-1995 00:00:00
Old Parr Superior 18 Year Old Blended Scotch Whisky,82,Scotland,Blended,100,43,18,Old Parr,01-01-1995 00:00:00
Charter 101 Kentucky Straight Bourbon Whiskey,82,USA,Bourbon,19,50,,Charter,01-01-1995 00:00:00
