name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
Canadian Hunter Canadian Whisky|40|Canada|Blended|9|40||Canadian Hunter|1995-01-01  00:00:00|0|c6a4f860-9413-4bb9-8dbf-26d612016890|14.36|44.61|72.37
Canadian LTD Blended Canadian Whiskey|43|Canada|Blended|10|||Canadian LTD|1995-01-01  00:00:00|1|d1d39de3-d4ec-4487-a651-2144dc9e434c|14.36|44.61|72.37
Kellan Irish Whiskey|47|Ireland|Blended|20|40||Kellan|1995-01-01  00:00:00|2|e4d1a800-192b-47ae-9b6a-1eac5d2c58af|14.36|44.61|72.37
Rich & Rare Canadian Whisky|47|Canada|Blended|10|||Rich & Rare|1995-01-01  00:00:00|3|bad392ff-ae80-4b14-920c-fd7563807f43|14.36|44.61|72.37
Canadian Mist Blended Canadian Whisky|48|Canada|Blended|12|40||Canadian Mist|1995-01-01  00:00:00|4|70d63d36-d9b4-4ca7-86d6-db27ee41c023|14.36|44.61|72.37
Slane Castle Irish Whiskey|50|Ireland|Blended|25|||Slane Castle|1995-01-01  00:00:00|5|96f50fc5-2e71-43fc-a4c1-6e773357a519|14.36|44.61|72.37
Canadian Club 6 Year Old Canadian Whisky|53|Canada|Blended|12|40|6|Canadian Club|1995-01-01  00:00:00|6|512c22a7-abe6-470f-9497-4353db4dc681|14.36|44.61|72.37
Origine Irish Whiskey|54|Ireland|Blended|17|||Origine|1995-01-01  00:00:00|7|d9868e00-7fd7-4a2f-b8f1-67dbd1fe2261|14.36|44.61|72.37
Jack Daniel's No. 7 Whiskey|54|USA|Blended|20|40|7|Jack Daniel's|1995-01-01  00:00:00|8|1699efe2-71e0-4538-99b3-24bb4982d144|14.36|44.61|72.37
Ellington Canadian Whisky|54|Canada|Blended|11|||Ellington|1995-01-01  00:00:00|9|eacd38e8-107c-4bbb-ba24-40555f30f8ac|14.36|44.61|72.37
Canadian Club Reserve Canadian Whisky|56|Canada|Blended|16||10|Canadian Club|1995-01-01  00:00:00|10|9b66acce-70e7-47a5-8eb9-03c6cf6270e6|14.36|44.61|72.37
Pendleton Blended Canadian Whisky|56|Canada|Blended|26|40||Hood River|1995-01-01  00:00:00|11|45189079-263e-4b99-8fd3-c04e67069b93|14.36|44.61|72.37
Jim Beam Straight Rye Whiskey|57|USA|Rye|15|51|4|Jim Beam|1995-01-01  00:00:00|12|4469de0e-b54a-41c2-a923-1843a16dfe5a|14.36|44.61|72.37
Catoctin Creek Organic Roundstone Rye Whisky|57|USA|Rye|38|40||Catoctin Creek|1995-01-01  00:00:00|13|a43abf77-2ddd-4075-bd53-aae8fbc8761c|14.36|44.61|72.37
Johnnie Walker Red Label Whisky|58|Scotland|Blended|30|40||Johnnie Walker|1995-01-01  00:00:00|14|cfa3333e-cca8-4f86-96e7-bf6cc3d39b9e|14.36|44.61|72.37
Danfield's Private Reserve Small Batch Canaidan Whiskey|60|Canada|Blended|25|||Danfield|1995-01-01  00:00:00|15|e3fc0672-d603-462d-990f-66bab2856973|14.36|44.61|72.37
Wiser's Small Batch Canadian Whisky|60|Canada|Rye|29|43||Wiser's|1995-01-01  00:00:00|16|2f6c3de2-aad9-4c02-a380-d618ab5b191c|14.36|44.61|72.37
8 Seconds Canadian Whiskey|64|Canada|Blended|30|40||8 Seconds|1995-01-01  00:00:00|17|7a58125f-9670-441d-b4ff-aa63295eb450|14.36|44.61|72.37
Feckin Irish Whiskey|64|Ireland|Blended|20|40||Feckin|1995-01-01  00:00:00|18|0702ed7e-5078-4965-a513-7f904568e505|14.36|44.61|72.37
Bushmills Original Irish Whiskey|65|Ireland|Blended|24|40||Bushmills|1995-01-01  00:00:00|19|cfa08aef-0dd6-4544-bff6-2ec3097e7919|14.36|44.61|72.37
Jameson Irish Whiskey|65|Ireland|Blended|25|40||Jameson|1995-01-01  00:00:00|20|8e570384-acdc-421e-8c2e-4e218e5735f1|14.36|44.61|72.37
Templeton Rye Whiskey|67|USA|Rye|35|40|4|Templeton|1995-01-01  00:00:00|21|0c59016a-245f-481e-b3da-88004f163be3|14.36|44.61|72.37
Dalwhinnie 15 Year Old Single Malt Scotch|67|Scotland|Highlands|50|43|15|Dalwhinnie|1995-01-01  00:00:00|22|95c58f9a-4d5b-4022-8de7-653bfa18e0fb|14.36|44.61|72.37
Forty Creek John K. Hall Small Batch Reserve Whisky|67|Canada|Blended|60|40||Forty Creek|1995-01-01  00:00:00|23|e6aa1f2a-3e06-4f36-a550-017c6548a801|14.36|44.61|72.37
Wiser's 18 Year Old Canadian Whisky|67|Canada|Blended|65|40|18|Wiser's|1995-01-01  00:00:00|24|a59debf9-3b4b-4ca0-9d35-62f37e05851e|14.36|44.61|72.37
